scenario_id,session_id,mode,deal_count,max_days,policy,status,turns,actions_submitted,buy_count,hold_count,sell_count,forecast_winner,brier_winner,ml_brier,market_brier,fng_brier,ml_abs_error,market_abs_error,fng_abs_error,fng_pnl,agent_pnl
scenario_0065,game_f3b57a30142179d5,focus,3,30,follow_market,settled,30,90,24,60,6,ml,ml,0.217930144448,0.23687836889611566,0.263221819359345,0.46596,0.4850163655765711,0.5119008393905208,-265.10247981218527,205.90957798915042
scenario_0066,game_aeeb872aaa0586fc,silent,3,30,follow_market,settled,30,90,24,60,6,ml,ml,0.217930144448,0.2278160415135397,0.23844595431018692,0.46596,0.4758494721951522,0.48640021511897386,-263.02123182586,232.26496213411338
scenario_0067,game_7826b63d9d62392f,team,5,30,follow_market,settled,30,150,38,101,11,fng,fng,0.238473302441,0.23326450352822703,0.2210471615159876,0.48713619999999996,0.48107209609248197,0.46660808953032556,-72.90210658024989,100.31333847166024
scenario_0068,game_d139b4db8411c8ec,focus,5,30,follow_market,settled,30,150,38,101,11,market,market,0.238473302441,0.22119236865223355,0.230068471557205,0.48713619999999996,0.46871585391480536,0.4768299678789397,-64.9395214071319,155.3089994936181
scenario_0069,game_5514a4cc8b757108,silent,5,30,follow_market,settled,30,150,38,101,11,fng,fng,0.238473302441,0.22600436467854973,0.2258452162733621,0.48713619999999996,0.474202451655194,0.47344002360123955,-71.63122437018501,136.80370419580868
scenario_0070,game_7fcf9695044d51ab,team,10,30,follow_market,settled,30,300,70,210,20,ml,ml,0.23792683460359995,0.240671192247423,0.2450659224845048,0.486492,0.48905681249060057,0.4902959744435278,-401.24800838020747,372.69561999427424
scenario_0071,game_c57b3d0cf52a47b7,focus,10,30,follow_market,settled,30,300,70,210,20,ml,ml,0.23792683460359995,0.24191893142776152,0.23901118544472588,0.486492,0.4897671415985295,0.4845164895301764,-390.92405182009315,350.11832433197924
scenario_0072,game_33e564edaa441bdb,silent,10,30,follow_market,settled,30,300,72,208,20,ml,ml,0.23792683460359995,0.2410768753907268,0.24340242076916424,0.486492,0.4888309746078803,0.48947808709401636,-394.37244502537396,361.32852631165406
scenario_0073,game_418851bd291bb097,team,1,5,calibrated_blend,settled,5,5,2,3,0,ml,ml,0.249448304704,0.2498035962765526,0.26112638621935286,0.499448,0.49980355768697027,0.5110052702461618,-50,49.630496540949025
scenario_0074,game_4b30457337ccf394,focus,1,5,calibrated_blend,settled,5,5,2,3,0,ml,ml,0.249448304704,0.2498035962765526,0.26112638621935286,0.499448,0.49980355768697027,0.5110052702461618,-50,49.630496540949025
scenario_0075,game_5189ad35401c032a,silent,1,5,calibrated_blend,settled,5,5,0,5,0,ml,ml,0.249448304704,0.249448304704,0.249448304704,0.499448,0.499448,0.499448,0,0
scenario_0076,game_41c163a7527b18d4,team,3,5,calibrated_blend,settled,5,15,2,13,0,ml,ml,0.217930144448,0.21804857497218422,0.22182283828645097,0.46596,0.4660785192289901,0.4698124234153873,-50,49.630496540949025
scenario_0077,game_84a468b19e64824f,focus,3,5,calibrated_blend,settled,5,15,2,13,0,ml,ml,0.217930144448,0.21804857497218422,0.22182283828645097,0.46596,0.4660785192289901,0.4698124234153873,-50,49.630496540949025
scenario_0078,game_638be6f81f5db3a1,silent,3,5,calibrated_blend,settled,5,15,0,14,1,fng,fng,0.217930144448,0.2213972735223928,0.21491452573440417,0.46596,0.4696165925748363,0.46270852435815835,24.153044078593666,-35
scenario_0079,game_8a513c9d6dbc8676,team,5,5,calibrated_blend,settled,5,25,3,22,0,fng,fng,0.238473302441,0.23350216492246073,0.23119898545912027,0.48713619999999996,0.48228423750437105,0.4798454100492324,-23.75965495452874,49.630496540949025
scenario_0080,game_0f6f1c07f15b7b7c,focus,5,5,calibrated_blend,settled,5,25,3,22,0,fng,fng,0.238473302441,0.23350216492246073,0.23119898545912027,0.48713619999999996,0.48228423750437105,0.4798454100492324,-23.75965495452874,49.630496540949025
scenario_0081,game_1289e2a7581b002d,silent,5,5,calibrated_blend,settled,5,25,1,22,2,fng,fng,0.238473302441,0.23367764199243238,0.2275732359083776,0.48713619999999996,0.4826053764249032,0.4760379395557709,25.393389124064925,-0.46125793830469775
scenario_0082,game_5983023d712614dc,team,10,5,calibrated_blend,settled,5,50,7,39,4,market,market,0.23792683460359995,0.23784416814344747,0.2438781496316366,0.486492,0.4862662372433782,0.4912960572076073,-34.3203613962487,35.44365671273226
scenario_0083,game_1287eb548f7a7b85,focus,10,5,calibrated_blend,settled,5,50,10,35,5,market,market,0.23792683460359995,0.23629401000639733,0.23792410234484324,0.486492,0.48480860015276495,0.48533239676033596,-32.32655402121054,49.630496540949025
scenario_0084,game_c72d7a4efeeb0f48,silent,10,5,calibrated_blend,settled,5,50,6,39,5,fng,fng,0.23792683460359995,0.2396744282582083,0.22926006627581855,0.486492,0.48825069024628204,0.4768645962930713,17.538456340025732,-35.4612579383047
scenario_0085,game_e8b751f7a46ab47c,team,1,15,calibrated_blend,settled,15,15,6,9,0,market,market,0.249448304704,0.24536971657768572,0.2696452537628181,0.499448,0.4953480761824817,0.5192737753467029,-150,154.24187004099622
scenario_0086,game_c338e8bfa584ac52,focus,1,15,calibrated_blend,settled,15,15,5,10,0,ml,ml,0.249448304704,0.26541894627348184,0.27876831674185915,0.499448,0.515188262942278,0.5279851482209127,-125,108.38556065074044
scenario_0087,game_61bf51ac08590101,silent,1,15,calibrated_blend,settled,15,15,2,12,1,ml,ml,0.249448304704,0.2724234054637955,0.2867110727259693,0.499448,0.5219419560293994,0.5354540808752598,-23.909253390638696,0
scenario_0088,game_9e9b4c411389f557,team,3,15,calibrated_blend,settled,15,45,9,31,5,ml,ml,0.217930144448,0.2203905158725542,0.22015644272224255,0.46596,0.46836328072560485,0.46690097824547067,-66.82906731871299,59.24187004099622
scenario_0089,game_52cb3b793814646c,focus,3,15,calibrated_blend,settled,15,45,8,33,4,ml,ml,0.217930144448,0.2231369269437841,0.21915300476821162,0.46596,0.47087804184839216,0.4654895949731756,-69.5268863367346,53.385560650740445
scenario_0090,game_88ab04b6f0103173,silent,3,15,calibrated_blend,settled,15,45,5,35,5,ml,ml,0.217930144448,0.23037213501560863,0.21883839588649942,0.46596,0.4782155902264839,0.46474046142002273,31.253085087200816,-70
scenario_0091,game_8684a98be3aa8fa0,team,5,15,calibrated_blend,settled,15,75,11,55,9,market,market,0.238473302441,0.2268893599728607,0.24897888350297462,0.48713619999999996,0.47546352375118806,0.49635809205497605,-140.453732634478,200.8472844102016
scenario_0092,game_6392d65427a37aba,focus,5,15,calibrated_blend,settled,15,75,11,56,8,market,market,0.238473302441,0.23495276472756035,0.25344437749462306,0.48713619999999996,0.48343591357290083,0.5001222449091368,-92.02747458161866,110.45413812680636
scenario_0093,game_a76725ed7c97fe2f,silent,5,15,calibrated_blend,settled,15,75,8,57,10,ml,ml,0.238473302441,0.23972177185374183,0.25261342779810875,0.48713619999999996,0.4882810062367975,0.4990999784213156,-17.116957532562083,10.71058932698179
scenario_0094,game_449329bf673ab1cc,team,10,15,calibrated_blend,settled,15,150,15,116,19,ml,ml,0.23792683460359995,0.24987651842642689,0.2467274734899621,0.486492,0.4985234772589884,0.4950308580557962,-192.16900740752862,67.12634010456895
scenario_0095,game_4205e01dd304f179,focus,10,15,calibrated_blend,settled,15,150,20,112,18,market,market,0.23792683460359995,0.23604002055494266,0.2522265116424326,0.486492,0.484692031801807,0.500249998011741,-174.4459346329677,194.03232789277354
scenario_0096,game_31714d22ba835c35,silent,10,15,calibrated_blend,settled,15,150,15,114,21,fng,fng,0.23792683460359995,0.242631272320397,0.2377070925595842,0.486492,0.49125637310706394,0.4859182427740622,-17.14486438086169,-32.21009042262267
scenario_0097,game_3bebccbfb5db9be5,team,1,30,calibrated_blend,settled,30,30,11,18,1,fng,fng,0.249448304704,0.23616697662127978,0.22388331081225307,0.499448,0.48597013963954594,0.4731630911348148,-250.205482293768,264.0218138482305
scenario_0098,game_c7bc998391d64380,focus,1,30,calibrated_blend,settled,30,30,9,19,2,fng,fng,0.249448304704,0.2591482898247919,0.23198171658006003,0.499448,0.5090660957329528,0.48164480333546633,-172.67776984308512,162.5887375034563
scenario_0099,game_c64ab01c03f94959,silent,1,30,calibrated_blend,settled,30,30,4,24,2,fng,fng,0.249448304704,0.25175714275512723,0.22940224893525168,0.499448,0.5017540660075683,0.47895954832872023,-47.45665873897451,45.055459427048845
scenario_0100,game_348e3d0ba2bbed0e,team,3,30,calibrated_blend,settled,30,90,15,63,12,fng,fng,0.217930144448,0.21160867793724183,0.2111252387043819,0.46596,0.45952351610962666,0.4592864941511697,-152.00369109384155,171.70904248106126
scenario_0101,game_63972546042e996f,focus,3,30,calibrated_blend,settled,30,90,14,65,11,ml,ml,0.217930144448,0.23237802398118113,0.21833426276740905,0.46596,0.4809086805626821,0.46713993869022347,-147.63448170242555,102.4404830032563
scenario_0102,game_43d1fdf1907031c0,silent,3,30,calibrated_blend,settled,30,90,10,68,12,fng,fng,0.217930144448,0.22458374127124192,0.21549476596570108,0.46596,0.47260046912031867,0.46408884792467336,15.765349550702012,-36.435641076959655
scenario_0103,game_0e7f5feade9da58c,team,5,30,calibrated_blend,settled,30,150,18,112,20,market,market,0.238473302441,0.21416740222503422,0.24533904296972114,0.48713619999999996,0.46246039453519294,0.49342949019846766,-299.0610367786303,425.56503585906285
scenario_0104,game_53ab9e67d2199eb1,focus,5,30,calibrated_blend,settled,30,150,19,113,18,market,market,0.238473302441,0.22424719678983304,0.24851535025474902,0.48713619999999996,0.4727092745027532,0.4970807258848418,-194.63909740720737,268.7066121974567
scenario_0105,game_e9633aec33228c70,silent,5,30,calibrated_blend,settled,30,150,14,115,21,market,market,0.238473302441,0.23379377757970116,0.24747106448201772,0.48713619999999996,0.4823642034103889,0.4958630343889925,-106.58576829678168,131.04576298609572
scenario_0106,game_19ee144f9d4bcf7b,team,10,30,calibrated_blend,settled,30,300,28,236,36,market,market,0.23792683460359995,0.23491104650105518,0.26271601477838075,0.486492,0.4833338461003943,0.5114066286188815,-389.1963243368082,420.7713562444769
scenario_0107,game_b8f6705f713f9a4a,focus,10,30,calibrated_blend,settled,30,300,35,230,35,ml,ml,0.23792683460359995,0.23907905034551633,0.23932005214742952,0.486492,0.4876271016436965,0.48729052083605334,-299.18826997904944,287.3304069884034
scenario_0108,game_989788d366a166bf,silent,10,30,calibrated_blend,settled,30,300,31,230,39,ml,ml,0.23792683460359995,0.2418376986638442,0.2608828864120803,0.486492,0.49069004504396097,0.5094239599382495,-288.7128639723869,247.90490205541573
scenario_0109,game_235d2a0f2c17657c,team,1,5,high_conviction,settled,5,5,1,0,4,ml,ml,0.249448304704,0.3452435582336146,0.5042734738636864,0.499448,0.5875743001813597,0.7101221541845363,171.61653063412814,-272.3173498576216
scenario_0110,game_6f0eec933e8a6757,focus,1,5,high_conviction,settled,5,5,2,0,3,fng,fng,0.249448304704,0.17480483295856888,0.12270624940105689,0.499448,0.4180966789614202,0.3502945180859342,-36.05757893219561,114.36585022064719
